Resource,Tika Format,Tika Format - no ext,Fidget Format,Fidget Format - no ext
"desktop-publishing/InDesign/Neddy_Flyer_ft_HeatherRyan.jpg","image/jpeg","image/jpeg","image/jpeg","image/jpeg"
"desktop-publishing/InDesign/Neddy_Flyer_HeatherRyan.indd","application/x-adobe-indesign","application/octet-stream","application/x-adobe-indesign","application/octet-stream"
"desktop-publishing/InDesign/Neddy_Flyer_HeatherRyan.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"desktop-publishing/InDesign/Neddy_Flyer_README_HeatherRyan.md.rtf","application/rtf","application/rtf","application/rtf","application/rtf"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.azw3","application/octet-stream","application/octet-stream","application/x-mobipocket-mobibook","application/x-mobipocket-mobibook"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.epub","application/epub+zip","application/epub+zip","application/epub+zip","application/epub+zip"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.fb2","application/x-fictionbook+xml","application/x-fictionbook+xml","application/x-fictionbook+xml","application/x-fictionbook+xml"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.htmlz","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.lit","application/octet-stream","application/octet-stream","application/x-ms-reader","application/x-ms-reader"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.lrf","application/octet-stream","application/octet-stream","application/x-ext-lrf","application/x-ext-lrf"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.mobi","application/x-mobipocket-ebook","application/octet-stream","application/x-mobipocket-mobibook","application/x-mobipocket-mobibook"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.opf","application/oebps-package+xml","application/xml","application/oebps-package+xml","application/xml"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.pdb","chemical/x-pdb","application/octet-stream","application/x-pdb-textread-ebook","application/x-pdb-textread-ebook"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.pmlz","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.rb","text/x-ruby","application/octet-stream","application/x-rocketbook","application/x-rocketbook"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.rtf","application/rtf","application/rtf","application/rtf","application/rtf"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.snb","application/octet-stream","application/octet-stream","application/x-snb-ebook","application/x-snb-ebook"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.txt","text/plain","text/plain","text/plain","text/plain"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.txtz","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.8.57/Lorem%20Ipsum%20-%20Andrew%20Jackson.zip","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.9.0/create-variations.sh","application/x-sh","text/plain","application/x-sh","text/plain"
"ebooks/calibre%200.9.0/lorem-ipsum.azw3","application/octet-stream","application/octet-stream","application/x-mobipocket-mobibook","application/x-mobipocket-mobibook"
"ebooks/calibre%200.9.0/lorem-ipsum.epub","application/epub+zip","application/epub+zip","application/epub+zip","application/epub+zip"
"ebooks/calibre%200.9.0/lorem-ipsum.fb2","application/x-fictionbook+xml","application/x-fictionbook+xml","application/x-fictionbook+xml","application/x-fictionbook+xml"
"ebooks/calibre%200.9.0/lorem-ipsum.htmlz","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.9.0/lorem-ipsum.lit","application/octet-stream","application/octet-stream","application/x-ms-reader","application/x-ms-reader"
"ebooks/calibre%200.9.0/lorem-ipsum.lrf","application/octet-stream","application/octet-stream","application/x-ext-lrf","application/x-ext-lrf"
"ebooks/calibre%200.9.0/lorem-ipsum.mobi","application/x-mobipocket-ebook","application/octet-stream","application/x-mobipocket-mobibook","application/x-mobipocket-mobibook"
"ebooks/calibre%200.9.0/lorem-ipsum.pdb","chemical/x-pdb","application/octet-stream","application/x-pdb-textread-ebook","application/x-pdb-textread-ebook"
"ebooks/calibre%200.9.0/lorem-ipsum.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"ebooks/calibre%200.9.0/lorem-ipsum.pmlz","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.9.0/lorem-ipsum.rb","text/x-ruby","application/octet-stream","application/x-rocketbook","application/x-rocketbook"
"ebooks/calibre%200.9.0/lorem-ipsum.rtf","application/rtf","application/rtf","application/rtf","application/rtf"
"ebooks/calibre%200.9.0/lorem-ipsum.snb","application/octet-stream","application/octet-stream","application/x-snb-ebook","application/x-snb-ebook"
"ebooks/calibre%200.9.0/lorem-ipsum.txt","text/plain","text/plain","text/plain","text/plain"
"ebooks/calibre%200.9.0/lorem-ipsum.txtz","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.9.0/lorem-ipsum.zip","application/zip","application/zip","application/zip","application/zip"
"ebooks/calibre%200.9.0/README.md","text/plain","text/plain","text/plain","text/plain"
"ebooks/iBooks%20Author%201.1%20(190)/lorem-ipsum-openprintcopypw.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"ebooks/iBooks%20Author%201.1%20(190)/lorem-ipsum-plus-image-openprintcopypw.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"ebooks/iBooks%20Author%201.1%20(190)/lorem-ipsum-plus-image.iba","application/zip","application/zip","application/vnd.apple.ibauthor","application/zip"
"ebooks/iBooks%20Author%201.1%20(190)/lorem-ipsum-plus-image.ibooks","application/x-ibooks+zip","application/x-ibooks+zip","application/x-ibooks+zip","application/x-ibooks+zip"
"ebooks/iBooks%20Author%201.1%20(190)/lorem-ipsum-plus-image.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"ebooks/iBooks%20Author%201.1%20(190)/lorem-ipsum.iba","application/zip","application/zip","application/vnd.apple.ibauthor","application/zip"
"ebooks/iBooks%20Author%201.1%20(190)/lorem-ipsum.ibooks","application/x-ibooks+zip","application/x-ibooks+zip","application/x-ibooks+zip","application/x-ibooks+zip"
"ebooks/iBooks%20Author%201.1%20(190)/lorem-ipsum.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"ebooks/iBooks%20Author%202.0%20(327)/lorem-ipsum-plus-image-updated-opencopyprintpw.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"ebooks/iBooks%20Author%202.0%20(327)/lorem-ipsum-plus-image-updated-opencopyprintpw.screenshot01.png","image/png","image/png","image/png","image/png"
"ebooks/iBooks%20Author%202.0%20(327)/lorem-ipsum-plus-image-updated-standard-1.0.ibooks","application/x-ibooks+zip","application/x-ibooks+zip","application/x-ibooks+zip","application/x-ibooks+zip"
"ebooks/iBooks%20Author%202.0%20(327)/lorem-ipsum-plus-image-updated-standard-1.0.screenshot01.png","image/png","image/png","image/png","image/png"
"ebooks/iBooks%20Author%202.0%20(327)/lorem-ipsum-plus-image-updated.iba","application/zip","application/zip","application/vnd.apple.ibauthor","application/zip"
"ebooks/iBooks%20Author%202.0%20(327)/lorem-ipsum-plus-image-updated.iba.md","text/plain","text/plain","text/plain","text/plain"
"ebooks/iBooks%20Author%202.0%20(327)/lorem-ipsum-plus-image-updated.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"ebooks/iBooks%20Author%202.0%20(327)/lorem-ipsum-plus-image-updated.screenshot01.png","image/png","image/png","image/png","image/png"
"file-archive/arj/MAPS.ARJ","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"file-archive/arj/readme.md","text/plain","text/plain","text/plain","text/plain"
"file-archive/readme.md","text/plain","text/plain","text/plain","text/plain"
"filesys-trials/a-bad-name/characters/!","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%23","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/$","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%25","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/'","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/(","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/()","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/(.)","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/)","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/+","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/-","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/;","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/=","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/@","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%5B","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%5B%5D","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%5D","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%5E","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/_","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%60","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%7B","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%7B%20(2).%7D","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%7B.%7D","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%7B%7D","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%7D","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/~","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%C2%A3","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/a-bad-name/characters/%C2%AC","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/empty/null","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"filesys-trials/readme.md","text/plain","text/plain","text/plain","text/plain"
"jp2k-formats/balloon.j2c","application/octet-stream","application/octet-stream","image/x-jp2-codestream","image/x-jp2-codestream"
"jp2k-formats/balloon.jp2","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-formats/balloon.jpf","application/octet-stream","application/octet-stream","image/jpx","image/jpx"
"jp2k-formats/balloon.jpm","video/jpm","application/octet-stream","image/jpm","image/jpm"
"jp2k-formats/readme.md","text/plain","text/plain","text/plain","text/plain"
"jp2k-formats/Speedway.mj2","video/mj2","application/octet-stream","video/mj2","video/mj2"
"jp2k-test/byteCorruption/balloon.jpg","image/jpeg","image/jpeg","image/jpeg","image/jpeg"
"jp2k-test/byteCorruption/balloon_intact.jp2","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-test/byteCorruption/balloon_intact.jp2.xml","application/xml","application/xml","application/xml","application/xml"
"jp2k-test/byteCorruption/balloon_trunc1.jp2","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-test/byteCorruption/balloon_trunc1.jp2.xml","application/xml","application/xml","application/xml","application/xml"
"jp2k-test/byteCorruption/balloon_trunc2.jp2","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-test/byteCorruption/balloon_trunc2.jp2.xml","application/xml","application/xml","application/xml","application/xml"
"jp2k-test/byteCorruption/balloon_trunc3.jp2","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-test/byteCorruption/balloon_trunc3.jp2.xml","application/xml","application/xml","application/xml","application/xml"
"jp2k-test/diagram.png","image/png","image/png","image/png","image/png"
"jp2k-test/icc/balloon_eciRGBv2.tif","image/tiff","image/tiff","image/tiff","image/tiff"
"jp2k-test/icc/balloon_eciRGBv2_aware.jp2","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-test/icc/balloon_eciRGBv2_aware.jp2.xml","application/xml","application/xml","application/xml","application/xml"
"jp2k-test/icc/balloon_eciRGBv2_ps_adobeplugin.jpf","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-test/icc/balloon_eciRGBv2_ps_adobeplugin.jpf.xml","application/xml","application/xml","application/xml","application/xml"
"jp2k-test/icc/balloon_eciRGBv2_ps_adobeplugin_jp2compatible.jpf","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-test/icc/balloon_eciRGBv2_ps_adobeplugin_jp2compatible.jpf.xml","application/xml","application/xml","application/xml","application/xml"
"jp2k-test/icc/balloon_eciRGBv2_ps_kduplugin.jp2","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-test/icc/balloon_eciRGBv2_ps_kduplugin.jp2.xml","application/xml","application/xml","application/xml","application/xml"
"jp2k-test/readme.md","text/plain","text/plain","text/plain","text/plain"
"jp2k-test/resolution/balloon.tif","image/tiff","image/tiff","image/tiff","image/tiff"
"jp2k-test/resolution/balloon_aware.jp2","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-test/resolution/balloon_aware.jp2.xml","application/xml","application/xml","application/xml","application/xml"
"jp2k-test/resolution/balloon_gm.jp2","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-test/resolution/balloon_gm.jp2.xml","application/xml","application/xml","application/xml","application/xml"
"jp2k-test/resolution/balloon_kdu61.jp2","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-test/resolution/balloon_kdu61.jp2.xml","application/xml","application/xml","application/xml","application/xml"
"jp2k-test/resolution/balloon_kdu71.jp2","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-test/resolution/balloon_kdu71.jp2.xml","application/xml","application/xml","application/xml","application/xml"
"jp2k-test/resolution/balloon_oj.jp2","application/octet-stream","application/octet-stream","image/jp2","image/jp2"
"jp2k-test/resolution/balloon_oj.jp2.xml","application/xml","application/xml","application/xml","application/xml"
"knowledge-management/Concept%20Draw/ConceptDraw%20Format%20metadata%20template.csv","text/csv","text/plain","text/csv","text/plain"
"knowledge-management/Concept%20Draw/To%20Do.cdd","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"knowledge-management/Mind%20Manager/copac-uknuc.mmp","application/vnd.mindjet.mindmanager","application/octet-stream","application/vnd.mindjet.mindmanager","application/octet-stream"
"knowledge-management/Mind%20Manager/copac-uknuc.png","image/png","image/png","image/png","image/png"
"knowledge-management/Mind%20Manager/COPAC.UKNUC.xml","application/xml","application/xml","application/xml","application/xml"
"knowledge-management/Mind%20Manager/Mind%20Manager%20Format%20metadata%20template.csv","text/csv","text/plain","text/csv","text/plain"
"knowledge-management/NovaMind/Curation%20outline%203.nmind","application/x-gzip","application/x-gzip","application/x-gzip","application/x-gzip"
"knowledge-management/NovaMind/Curation%20outline%203.nmind.md","text/plain","text/plain","text/plain","text/plain"
"knowledge-management/NovaMind/Curation%20outline%203.opml","application/xml","application/xml","application/xml","application/xml"
"knowledge-management/NovaMind/Curation%20outline%203.opml.md","text/plain","text/plain","text/plain","text/plain"
"metadata-template.ext.md","text/plain","text/plain","text/plain","text/plain"
